branch	path	size	target_hits	stage_hits	priority_path
tmp-se-yt-dlp-result-20260824	tmp-se-yt-dlp/all-videos.json	219985	1152	192	False
tmp-se-save-result-20260824	tmp-se-youtube-search/youtube-results.json	73189	396	86	True
tmp-se-redmew-rerun-result-20260824	tmp-se-redmew-rerun/progression.json	29781	67	67	True
tmp-se-redmew-rerun-result-20260824	tmp-se-redmew-rerun/rcon-raw.txt	19552	67	67	False
tmp-se-youtube-alt-20260824	.github/workflows/tmp-se-youtube-alt.yml	18395	44	16	False
tmp-se-youtube-alt-result-20260824	.github/workflows/tmp-se-youtube-alt.yml	18395	44	16	False
tmp-se-youtube-alt2-20260824	.github/workflows/tmp-se-youtube-alt.yml	18395	44	16	False
tmp-se-candidate-header-result-20260824	.github/workflows/tmp-se-redmew-inspect.yml	16950	40	14	False
tmp-se-drive-result-20260824	.github/workflows/tmp-se-redmew-inspect.yml	16950	40	14	False
tmp-se-headless-final-result-20260824	.github/workflows/tmp-se-redmew-inspect.yml	16950	40	14	False
tmp-se-headless-mirror-result-20260824	.github/workflows/tmp-se-redmew-inspect.yml	16950	40	14	False
tmp-se-history-result-20260824	.github/workflows/tmp-se-redmew-inspect.yml	16950	40	14	False
tmp-se-redmew-rerun-result-20260824	.github/workflows/tmp-se-redmew-inspect.yml	16950	40	14	False
tmp-se-redmew-result-20260824	.github/workflows/tmp-se-save-fetch.yml	16950	40	14	False
tmp-se-redmew-workflow-copy	.github/workflows/tmp-se-save-fetch.yml	16950	40	14	False
tmp-se-repo-scan-result-20260824	.github/workflows/tmp-se-redmew-inspect.yml	16950	40	14	False
tmp-se-save-fetch-20260824	.github/workflows/tmp-se-save-fetch.yml	16950	40	14	False
tmp-se-save-result-20260824	.github/workflows/tmp-se-redmew-inspect.yml	16950	40	14	False
tmp-se-script-decode-result-20260824	.github/workflows/tmp-se-redmew-inspect.yml	16950	40	14	False
tmp-se-speedrun-result-20260824	.github/workflows/tmp-se-redmew-inspect.yml	16950	40	14	False
tmp-se-video-api-result-20260824	.github/workflows/tmp-se-redmew-inspect.yml	16950	40	14	False
tmp-se-candidate-header-result-20260824	.github/workflows/tmp-se-drive-scan.yml	20684	36	14	False
tmp-se-drive-result-20260824	.github/workflows/tmp-se-drive-scan.yml	20684	36	14	False
tmp-se-headless-final-result-20260824	.github/workflows/tmp-se-drive-scan.yml	20684	36	14	False
tmp-se-headless-mirror-result-20260824	.github/workflows/tmp-se-drive-scan.yml	20684	36	14	False
tmp-se-history-result-20260824	.github/workflows/tmp-se-drive-scan.yml	20684	36	14	False
tmp-se-redmew-rerun-result-20260824	.github/workflows/tmp-se-drive-scan.yml	20684	36	14	False
tmp-se-redmew-trigger	.github/workflows/tmp-se-drive-scan.yml	20684	36	14	False
tmp-se-redmew-workflow-mainbase	.github/workflows/tmp-se-drive-scan.yml	20684	36	14	False
tmp-se-repo-scan-result-20260824	.github/workflows/tmp-se-drive-scan.yml	20684	36	14	False
tmp-se-save-result-20260824	.github/workflows/tmp-se-drive-scan.yml	20684	36	14	False
tmp-se-script-decode-result-20260824	.github/workflows/tmp-se-drive-scan.yml	20684	36	14	False
tmp-se-speedrun-result-20260824	.github/workflows/tmp-se-drive-scan.yml	20684	36	14	False
tmp-se-video-api-result-20260824	.github/workflows/tmp-se-drive-scan.yml	20684	36	14	False
tmp-se-redmew-retry-20260824	.github/workflows/tmp-se-redmew-retry.yml	22445	40	13	False
tmp-se-redmew-retry-result-20260824	.github/workflows/tmp-se-redmew-retry.yml	22445	40	13	False
tmp-se-candidate-header-result-20260824	.github/workflows/tmp-se-headless-mirror.yml	15160	30	10	False
