score	repo	issue	source	author	url	title	context
287	notnotmelon/factorissimo-2-notnotmelon	195	issue-body	lucianfallen	https://github.com/user-attachments/files/20024006/_autosave3.zip	Can't get inside new placed factories	user-attachments/files/20024005/factorio-current.log) [_autosave1.zip](https://github.com/user-attachments/files/20024009/_autosave1.zip) [_autosave2.zip](https://github.com/user-attachments/files/20024008/_autosave2.zip) [_autosave3.zip](https://github.com/user-attachments/files/20024006/_autosave3.zip) [1.zip](https://github.com/user-attachments/files/20024007/1.zip) 
287	notnotmelon/factorissimo-2-notnotmelon	195	issue-body	lucianfallen	https://github.com/user-attachments/files/20024008/_autosave2.zip	Can't get inside new placed factories	ts/8a112016-d613-438b-a8c9-88e3f2021ee3) [factorio-current.log](https://github.com/user-attachments/files/20024005/factorio-current.log) [_autosave1.zip](https://github.com/user-attachments/files/20024009/_autosave1.zip) [_autosave2.zip](https://github.com/user-attachments/files/20024008/_autosave2.zip) [_autosave3.zip](https://github.com/user-attachments/files/20024006/_autosave3.zip) [1.zip](https://github.com/user-attachments/files/20024007/1.zip) 
287	notnotmelon/factorissimo-2-notnotmelon	195	issue-body	lucianfallen	https://github.com/user-attachments/files/20024009/_autosave1.zip	Can't get inside new placed factories	9ba05-a80a-42cc-9b50-524ac2008ead) ![Image](https://github.com/user-attachments/assets/8a112016-d613-438b-a8c9-88e3f2021ee3) [factorio-current.log](https://github.com/user-attachments/files/20024005/factorio-current.log) [_autosave1.zip](https://github.com/user-attachments/files/20024009/_autosave1.zip) [_autosave2.zip](https://github.com/user-attachments/files/20024008/_autosave2.zip) [_autosave3.zip](https://github.com/user-attachments/files/20024006/_autosave3.zip) [1.zip](https://github.com/user-attachments/files/20024007/1.zip) 
287	notnotmelon/factorissimo-2-notnotmelon	200	issue-body	RED7201	https://github.com/user-attachments/files/20404869/serversave.zip	not able to enter the factory after i pick it up and  place it again with something in it	 drop it and try to walk in' **Expected behavior** walk in factory after picking it up and placeing it back with somthing inside ![Image](https://github.com/user-attachments/assets/7fc74a0c-1b1e-47a3-a754-5d17e148589e) [serversave.zip](https://github.com/user-attachments/files/20404869/serversave.zip) [factorio-current.log](https://github.com/user-attachments/files/20404884/factorio-current.log) 
287	notnotmelon/factorissimo-2-notnotmelon	209	issue-body	Furuchiru	https://github.com/user-attachments/files/21332917/SPACEGE.factorissimo.zip	The entire factory surface is buildable as if it were a normal world	b-21a8-4d20-8cfe-7792be0d04c0) ![Image](https://github.com/user-attachments/assets/37bac7d4-c36a-4ece-9485-ce64e7e3e26d) **Additional context** Add any other context about the problem here. **Save file & log** [SPACEGE factorissimo.zip](https://github.com/user-attachments/files/21332917/SPACEGE.factorissimo.zip)
287	notnotmelon/factorissimo-2-notnotmelon	226	issue-body	LennyTheLing	https://github.com/user-attachments/files/21946207/BugMap.zip	Factorissimo crash on entity died with quantum fabricator	. Previous issue at https://github.com/notnotmelon/factorissimo-2-notnotmelon/issues/203, solved on 3.8.28 **Save file & log** [factorio-current.log](https://github.com/user-attachments/files/21946194/factorio-current.log) [BugMap.zip](https://github.com/user-attachments/files/21946207/BugMap.zip) 
287	notnotmelon/factorissimo-2-notnotmelon	240	issue-body	BloodStainedCrow	https://github.com/user-attachments/files/22606582/_autosave1.zip	Biters destroyed Main Factory Building	"<img width=""783"" height=""781"" alt=""Image"" src=""https://github.com/user-attachments/assets/bc8cc788-52e9-426b-9864-4eb6926cc07f"" /> **Additional context** Add any other context about the problem here. **Save file & log** [_autosave1.zip](https://github.com/user-attachments/files/22606582/_autosave1.zip) I restarted trying to fix the issue, and unfortunately lost the log file."
287	notnotmelon/factorissimo-2-notnotmelon	250	issue-body	StAlexandre	https://github.com/user-attachments/files/23176857/Space.Exploration.Creative.Test.world.zip	Remote view edit does not work with Space Exploration	* https://github.com/user-attachments/assets/d4dc4d18-4d14-4be7-a00f-36504c830ea2 **Additional context** I can only chalk it up to something about how SE handles surfaces. **Save file & log** [Space Exploration Creative Test world.zip](https://github.com/user-attachments/files/23176857/Space.Exploration.Creative.Test.world.zip) [factorio-current.log](https://github.com/user-attachments/files/23176865/factorio-current.log)
287	notnotmelon/factorissimo-2-notnotmelon	282	issue-body	nickmckinnon	https://github.com/user-attachments/files/29579387/_autosave1.zip	Crash on rotating underground belt inside factory	"thub.com/user-attachments/assets/980ac9e8-2ff7-4bc0-9277-93525ff2b44e"" /> **Additional context** Save file was not created with Factorissimo enabled. The mod was added about an hour before the crash. **Save file & log** [_autosave1.zip](https://github.com/user-attachments/files/29579387/_autosave1.zip) [factorio-current.log](https://github.com/user-attachments/files/29579393/factorio-current.log) **Help wanted?** - [ ] I am familiar with programming and will submit a pull request to resolve this issue. (Note: Please do not use AI codin"
275	factoriocenter/factorio-admin-command-center	22	comment-3124111341	louanfontenele	https://github.com/user-attachments/files/21452254/factorio-admin-command-center_3.5.1.zip	Entity deep-iron-ore is not autoplacable	Backup the old one, remove from the mod folder the previous version, and put this new one: [factorio-admin-command-center_3.5.1.zip](https://github.com/user-attachments/files/21452254/factorio-admin-command-center_3.5.1.zip) Please, test this version.
275	EarendelDevelopers/factorio-mods	387	issue-body	StAlexandre	https://github.com/user-attachments/files/25063059/Space.Exploration.Creative.Test.world.zip	Space Exploration Utility Science textures default to base game yellow when in item form on belts or on ground	" src=""https://github.com/user-attachments/assets/5bda7903-5535-4c90-a175-d7547505de3a"" /> Mod List: [mod-list.json](https://github.com/user-attachments/files/25063068/mod-list.json) Test world: [Space Exploration Creative Test world.zip](https://github.com/user-attachments/files/25063059/Space.Exploration.Creative.Test.world.zip)"
262	notnotmelon/factorissimo-2-notnotmelon	188	issue-body	mathlover3	https://github.com/user-attachments/files/19657898/second.modded.zip	copying a building doesnt copy the stuff inside	licabul **Additional context** its not to big a problum yet but it will be in a few days once i get reqrson 2 i hope you can fix this quickly **Save file & log** Attach your save file and `factorio-current.log` file. [second modded.zip](https://github.com/user-attachments/files/19657898/second.modded.zip) [factorio-current.log](https://github.com/user-attachments/files/19657900/factorio-current.log) 
262	notnotmelon/factorissimo-2-notnotmelon	198	issue-body	mathlover3	https://github.com/user-attachments/files/20235792/factorysimo.bug.zip	blueprints of buildings not working correctly	t. **Screenshots** If applicable, add screenshots to help explain your problem. **Additional context** happens on a new save with no mods **Save file & log** Attach your save file and `factorio-current.log` file. [factorysimo bug.zip](https://github.com/user-attachments/files/20235792/factorysimo.bug.zip) on the save just edit the inside of the building and place the test blueprint and see it copyed your changes. i cant upload the log but it doesnt seem to have anything useful anyways. 
